"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene_3",161.396634650651,2.3715695670194,0.336251246837765,7.05296884196726,1.75140080211782e-12,1.78642881816018e-10
"gene_23",121.012681116835,1.85367982146423,0.348731483863853,5.31549317235698,1.06368838441951e-07,5.42481076053948e-06
"gene_5",187.15126186353,1.55999539949659,0.324207428802054,4.81172009309215,1.49636826434913e-06,4.54377957400643e-05
"gene_10",114.645747732903,1.62642346012211,0.340490386847123,4.7767088967841,1.78187434274762e-06,4.54377957400643e-05
"gene_25",179.640498220429,1.77554777859468,0.376912734329414,4.7107662248495,2.46787190191827e-06,5.03445867991327e-05
"gene_6",166.563266889122,1.67759934355707,0.359732299663101,4.66346598603514,3.10927597242429e-06,5.2857691531213e-05
"gene_18",147.633628590238,1.50073696000547,0.336568445464797,4.45893541188323,8.23677344940292e-06,0.000120021555977014
"gene_11",129.918060092202,1.7350644042944,0.417390886048943,4.15692930125683,3.22553753860014e-05,0.000411256036171518
"gene_9",153.977238145806,1.41299471962407,0.365041399808771,3.87077937013247,0.000108487947938172,0.00122953007663262
"gene_14",178.105156287302,1.21103385145122,0.324447823977035,3.73259970310955,0.000189513643722006,0.00193303916596447
"gene_22",150.621232521938,1.22876339241785,0.332758736717806,3.69265553937925,0.000221924525355963,0.00205784559875529
"gene_16",157.454446718842,1.1393398371333,0.316492095063148,3.59989982342521,0.000318339798902785,0.00270588829067367
"gene_24",157.851898947621,1.27320165088317,0.355797936978382,3.57844022845059,0.000345650893962613,0.00271203009109127
"gene_15",178.37366809629,1.23236214953878,0.372782980104817,3.3058433869279,0.000946909979886563,0.00689891556774496
"gene_20",167.114289455553,1.1431084577431,0.358041675344975,3.19266872115295,0.00140964565863336,0.00958559047870684
"gene_8",107.248481749934,1.2078695695263,0.392794786665188,3.07506517533256,0.00210456558008529,0.0134166055730437
"gene_2",177.826359975759,1.07421132262726,0.360083586956236,2.98322767696108,0.00285225732081693,0.0171135439249016
"gene_4",141.289170150439,1.19564313081849,0.418058500514731,2.85998999983583,0.00423654367138748,0.0240070808045291
"gene_12",152.116086318416,1.10905150435708,0.418415569407807,2.65059807866792,0.00803493945443958,0.0431349381238335
"gene_21",125.713563303524,1.07841222346383,0.412097613576467,2.61688538815993,0.00887361306369906,0.0452554266248652
"gene_17",151.003448281624,1.05996355522167,0.431925712596136,2.4540413416248,0.0141260740198462,0.0686123595249672
"gene_77",103.696103099044,-1.00375838669562,0.42470512582209,-2.36342423405574,0.0181069286879647,0.0839503057351091
"gene_13",120.054826549386,0.84380213727035,0.368659043524375,2.28884155181333,0.022088560242882,0.0979579628162592
"gene_79",106.599278452655,0.799783468166336,0.377667447883761,2.11769235778164,0.034201130508546,0.14535480466132
"gene_95",104.81963241883,-0.66902575198516,0.340142298787535,-1.96689960163719,0.0491947864848772,0.200714728858299
"gene_76",103.568347418003,0.745577010058845,0.418241851411862,1.78264563324305,0.0746440065162518,0.292834179409911
"gene_101",106.961455084198,0.610810243156109,0.36150934778888,1.68961120062881,0.0911023616882978,0.344164477489125
"gene_1",156.509402326095,0.660426310072827,0.404381564849715,1.63317610761576,0.10243196343872,0.348268675691648
"gene_173",124.186461012171,0.565419653829861,0.345325677965177,1.63735189679951,0.101556963049941,0.348268675691648
"gene_235",100.010811021966,0.661981686568885,0.399364776900066,1.65758655960421,0.0974009443393454,0.348268675691648
"gene_19",141.721766729506,0.535050737437011,0.336433680451137,1.59036020626574,0.111753634764389,0.366336862806375
"gene_105",135.455260006936,-0.666834581085144,0.423005856779322,-1.5764192632279,0.114929211860824,0.366336862806375
"gene_228",109.848657833377,-0.522853741383034,0.339953978312638,-1.53801330397196,0.124045361908555,0.38341293680826
"gene_40",106.720832859759,-0.58290522838634,0.387385418991541,-1.50471649114669,0.132396981417545,0.397190944252635
"gene_57",109.27250481952,0.47844517040521,0.344599664621123,1.38840869427788,0.165012630407401,0.431571494911664
"gene_86",98.7745655989949,-0.753055340996927,0.536185662980941,-1.40446750629305,0.160179681091683,0.431571494911664
"gene_171",127.769854362906,-0.486366843506944,0.341525774465527,-1.4240999651288,0.154417536520897,0.431571494911664
"gene_188",105.977655593485,-0.507708194412396,0.364500511943377,-1.39288746593383,0.163653823268038,0.431571494911664
"gene_273",130.518589673857,0.585418712604712,0.410019962413972,1.42778100158365,0.153354902811995,0.431571494911664
"gene_149",118.930175847719,-0.480243016209768,0.359188038409955,-1.33702396754551,0.181214813518342,0.462097774471772
"gene_116",117.792048555151,-0.426362024778594,0.337357185805408,-1.26382968176799,0.206291165154637,0.512321336236148
"gene_157",102.911343269924,-0.438951989722478,0.372104546620967,-1.17964693984135,0.238140665451032,0.512321336236148
"gene_192",114.058125793626,-0.424279763160162,0.344953942648936,-1.22996061416801,0.218711854054082,0.512321336236148
"gene_244",100.343045381177,-0.42921184468957,0.352837826546788,-1.21645643521346,0.223811096864826,0.512321336236148
"gene_255",100.90175171223,-0.447276747058235,0.376869988667166,-1.18681975351783,0.235298725416498,0.512321336236148
"gene_267",102.54137741413,-0.405704327300611,0.338751768856273,-1.19764489694147,0.231055289624517,0.512321336236148
"gene_269",102.369713286838,-0.429922730127962,0.366746679988918,-1.17226072814334,0.241092393522893,0.512321336236148
"gene_277",103.701094755773,-0.430229547203301,0.347797399721266,-1.23701197176315,0.216082638126776,0.512321336236148
"gene_199",105.710836662289,-0.429941881130759,0.37550354637703,-1.14497422269102,0.252219835588935,0.525029045511661
"gene_155",110.80220340329,-0.407607556815233,0.362936643685853,-1.12308184887511,0.261402734261767,0.533261577894005
"gene_61",99.9047929227868,-0.41376374791231,0.375030907271024,-1.10327906284613,0.269905996033594,0.539811992067189
"gene_180",106.184749700704,-0.48940556666091,0.471877138994165,-1.03714616839483,0.299667741459707,0.58780980055558
"gene_124",113.621262090678,0.364993299965812,0.362586504382322,1.0066378520833,0.31410883752055,0.594207148828853
"gene_221",110.479149047766,-0.440650060165382,0.43817101781094,-1.00565770499114,0.314580255262334,0.594207148828853
"gene_260",97.2333052260173,-0.458743035726408,0.488896443648183,-0.938323527786849,0.348078172205239,0.633999527945256
"gene_278",101.634282301517,-0.367993198182412,0.387747911133227,-0.949052690205138,0.342593814467209,0.633999527945256
"gene_132",102.163458470578,-0.305745497630197,0.344066628016687,-0.888622937343894,0.374205759545211,0.667589841734659
"gene_139",120.245035083593,-0.343845601822649,0.391349446171673,-0.878615276414149,0.379609910005983,0.667589841734659
"gene_148",108.940638093185,0.323112804738663,0.389879923255052,0.828749534064333,0.407246150131497,0.704052666329029
"gene_7",127.759049308582,0.273081282372874,0.348355730560889,0.783914999570081,0.433089987820929,0.730963271637066
"gene_99",104.624122257247,0.285402922245016,0.367302655801655,0.777023845967329,0.437144701665304,0.730963271637066
"gene_219",106.921496035402,0.273692671984823,0.394682099314447,0.69345093800864,0.488026605031216,0.774226022761022
"gene_234",106.414851262163,-0.257921418602475,0.376558462819729,-0.684943890707221,0.493379328230063,0.774226022761022
"gene_237",110.23211163341,-0.267324957581881,0.377188509817868,-0.708730384472644,0.478491805632421,0.774226022761022
"gene_286",96.2635378394051,0.236962112611621,0.336389575781017,0.704427632935566,0.481166502420593,0.774226022761022
"gene_245",101.999411302246,0.294608595722096,0.438812308061604,0.671377238764088,0.501980241124234,0.775787645373817
"gene_33",103.943901644946,-0.213021149434081,0.335347546865705,-0.635225011857291,0.5252816727259,0.799682546537938
"gene_88",107.591865638924,-0.243273765995773,0.404452911023761,-0.601488478300212,0.547514683522355,0.80239162344264
"gene_133",131.064984777713,0.253411662596282,0.424638708915446,0.596770047750737,0.550660918048871,0.80239162344264
"gene_175",101.473781595361,0.219025664433408,0.360386320310984,0.607752437008172,0.543351679110751,0.80239162344264
"gene_31",99.6937339549069,-0.198730292339657,0.3571926506813,-0.556367248767868,0.57795982338232,0.807560301164337
"gene_39",104.572528055369,-0.200967115728053,0.354773297710344,-0.56646629558951,0.571076838641812,0.807560301164337
"gene_146",104.207087459834,0.207963710405065,0.36566577264305,0.568726213837005,0.569541955286873,0.807560301164337
"gene_96",102.157553400907,0.188321043824756,0.350330215983664,0.537552957845742,0.590885714585696,0.814464093077581
"gene_78",104.764917338924,0.206218462527659,0.405395682363794,0.508684407602058,0.610973453465735,0.8309238967134
"gene_47",96.3871071653442,0.205418037573624,0.436602368918894,0.470492265267079,0.638003359021307,0.834312084874016
"gene_111",112.136255064312,0.203750428329591,0.418236875734562,0.487165145282175,0.626141303381238,0.834312084874016
"gene_158",101.931621197281,0.203895106292455,0.427250034801399,0.477226658125921,0.633200730167292,0.834312084874016
"gene_215",105.89685846042,0.153631555850991,0.336899832446346,0.456015530596793,0.648378810253139,0.837147324630635
"gene_135",103.915380787886,0.150447558229298,0.348618466635985,0.431553611261764,0.666065879966399,0.849233996957158
"gene_280",96.6353920835303,-0.149419123561737,0.366902383536906,-0.407244897461145,0.683828129070939,0.850615477624827
"gene_296",121.329450933933,0.200003482461274,0.477838902666014,0.418558391427302,0.675538903818935,0.850615477624827
"gene_232",114.358527286928,-0.1551593675176,0.406423607258767,-0.381767605883216,0.702633748839398,0.863477619055646
"gene_65",113.264064633365,-0.124692249921881,0.343521035240944,-0.362982866054833,0.716617683607713,0.864489456953862
"gene_206",108.578205306436,0.125695376727461,0.351189040023898,0.357913722816942,0.720407880794885,0.864489456953862
"gene_141",121.229774094063,0.102461407797628,0.331553485674961,0.309034325454435,0.757295415994598,0.869440573480477
"gene_151",97.6109276616488,-0.141308941438822,0.444455989226069,-0.317936859586218,0.750532832225806,0.869440573480477
"gene_161",139.081534184102,0.1365247783597,0.418032262616266,0.32658909507428,0.743978692532303,0.869440573480477
"gene_265",102.64613130244,-0.0990864829547375,0.322462153409781,-0.307280968966363,0.758629519997671,0.869440573480477
"gene_118",98.919915782525,0.106296991304408,0.383069254354332,0.277487660771869,0.781405679244659,0.875861310801706
"gene_184",108.885973390394,0.122324816050518,0.428114914733328,0.285728928941227,0.775085745895366,0.875861310801706
"gene_52",98.6557695814438,-0.0790915566612238,0.333838111102104,-0.236915900344985,0.812722034419983,0.891372553879982
"gene_220",97.6932403401072,0.0995039666876923,0.407446165928167,0.244213775974603,0.807065258343498,0.891372553879982
"gene_49",98.2697342977113,0.0697591554438462,0.338226738050189,0.206249676906072,0.836595885355208,0.907795535172672
"gene_73",102.010418361377,-0.0723352197676608,0.381240268506235,-0.189736567050177,0.849515564899725,0.912111448629179
"gene_35",97.7930290908432,0.0703441274588082,0.397279114915215,0.177064750745381,0.859457529228863,0.913173624805667
"gene_55",118.170509355056,-0.0288689218759351,0.348760763798116,-0.0827757158275011,0.934029878809266,0.952710476385451
"gene_110",103.943065225774,-0.0332727631282693,0.353649790608171,-0.09408393278291,0.925042483543838,0.952710476385451
"gene_191",121.117135705137,-0.0483384682052485,0.435870659731992,-0.110900945328531,0.91169489596406,0.952710476385451
"gene_266",98.147573793265,0.0339088316310839,0.367021906696874,0.0923891217727485,0.926388882030479,0.952710476385451
"gene_300",122.759847723243,-0.0127284947422381,0.332838380160028,-0.0382422686233427,0.969494520040381,0.979093475684346
"gene_214",104.036169861688,-0.000127470937560931,0.387841422829801,-0.000328667672036853,0.999737761143568,0.999737761143568
"gene_26",78.988870044627,-0.283822589427641,0.430323743772781,-0.659555958821331,0.50953882457588,NA
"gene_27",77.7227846989484,0.151706508744657,0.38737688297818,0.391625095380828,0.695335242679492,NA
"gene_28",95.0700602638218,-0.631871511251977,0.3766087519929,-1.67779295597435,0.093387524960488,NA
"gene_29",77.0191902960893,-0.250534536067535,0.453941380375061,-0.551909446679074,0.581010395823863,NA
"gene_30",72.8140738042252,-0.00491535727555771,0.405874150552573,-0.0121105452733705,0.990337419098283,NA
"gene_32",83.8029334972818,-0.0248976060890716,0.426700335743099,-0.0583491598283193,0.953470510307073,NA
"gene_34",92.4310229466592,-0.508595078329526,0.451344970553378,-1.12684334934752,0.259808718738613,NA
"gene_36",90.9118991844281,-0.177725471922,0.414999980112819,-0.428254169731973,0.668466081775185,NA
"gene_37",80.4309372225291,-0.00216573873561533,0.393669485155499,-0.00550141379324807,0.995610529013419,NA
"gene_38",88.2564841513284,-0.254017951499898,0.383053987577266,-0.663138773483359,0.507241679944586,NA
"gene_41",67.8349233358221,0.304911109234416,0.347065621665829,0.87854022467255,0.379650618508557,NA
"gene_42",80.3816993764125,0.709869717360098,0.433597220056338,1.63716390355977,0.101596227044791,NA
"gene_43",73.6796840396345,-0.00963389559752396,0.375807677473054,-0.0256351750509799,0.979548329648654,NA
"gene_44",92.9646349079365,-0.494135725896812,0.389623294413343,-1.26823968941804,0.204712367392338,NA
"gene_45",88.9143038704916,-0.248039909336153,0.398091126833684,-0.623073192585325,0.533236425048577,NA
"gene_46",90.6064871835486,-0.750706964350552,0.371143978869258,-2.02268393693921,0.0431057440400421,NA
"gene_48",95.5380225220376,-0.189527050776884,0.373622512388666,-0.507268819443422,0.611966213372416,NA
"gene_50",90.3173100945537,-0.0884067571528268,0.387612156343393,-0.228080455439859,0.819583693979194,NA
"gene_51",89.3708021683435,0.137483963998341,0.391492137518109,0.351179374558913,0.725453782667314,NA
"gene_53",63.4203566739788,-0.0322048852584512,0.393638500600589,-0.0818133521220993,0.934795138212255,NA
"gene_54",73.5783469169414,0.163417328219384,0.375012327286531,0.43576521711118,0.66300708261772,NA
"gene_56",78.3504064866653,-0.433473141775886,0.397550146855881,-1.09036091472764,0.275554191844299,NA
"gene_58",93.1416974983208,-0.0535357741922468,0.366542318075917,-0.146056189291515,0.883877031329212,NA
"gene_59",93.9438865774616,0.259888507722152,0.410624969157626,0.632909655385299,0.526792642200959,NA
"gene_60",79.3818026744212,0.580475618466544,0.489212158361806,1.18655190502694,0.235404416286014,NA
"gene_62",80.0954831512173,-0.1449639007848,0.385069449679467,-0.376461702961554,0.706573681539301,NA
"gene_63",89.6095272169191,0.343823173911795,0.368374193706214,0.933353040973336,0.350637717588241,NA
"gene_64",73.0631556536542,0.0664518400608942,0.420473951657945,0.158040325206525,0.87442502306759,NA
"gene_66",87.6568998600176,-0.00345815513069558,0.37086777718006,-0.00932449606970468,0.992560236358768,NA
"gene_67",95.4491214905896,0.380199454390674,0.352164997749602,1.07960602791367,0.280317656028812,NA
"gene_68",85.2504199603569,-0.0367843658037709,0.382059944336348,-0.0962790429854317,0.923298955028874,NA
"gene_69",83.3573260084586,0.294577985264872,0.384931088011308,0.765274602232747,0.444108044340951,NA
"gene_70",85.2083803600593,-0.182147315698622,0.333083334169483,-0.546852084787704,0.584480356538351,NA
"gene_71",85.2539635533012,-0.242361381055925,0.364897675023695,-0.664189984329682,0.506568722979038,NA
"gene_72",95.9733077381713,-0.737985940699376,0.413486258235766,-1.78478952081301,0.0742954637460234,NA
"gene_74",72.8301596179666,0.74169434461733,0.370882404794102,1.99981000724229,0.0455207835798181,NA
"gene_75",74.4069646645085,-0.184576789160049,0.393006188927585,-0.469653645057633,0.638602491216203,NA
"gene_80",70.9870118312792,0.283983287781357,0.434184416212139,0.654061447573017,0.513072218055748,NA
"gene_81",96.1728116942604,0.460972193523362,0.412929115646895,1.11634703404531,0.264273616054663,NA
"gene_82",78.1993402268016,-0.0378944615411151,0.40289136275262,-0.0940562768142109,0.925064452395704,NA
"gene_83",72.2363570315203,0.876354222567641,0.383699064656336,2.28396236345418,0.0223737429493302,NA
"gene_84",90.0340896281628,-0.20778089897493,0.362634045789338,-0.572976810609874,0.56666039531161,NA
"gene_85",94.4220687675614,0.421413764032958,0.366231540018814,1.15067578289764,0.249865643005271,NA
"gene_87",70.4778129485273,-0.0904799940279608,0.368115749457208,-0.245792238341812,0.805843065692062,NA
"gene_89",73.6517653742089,-0.806341165582109,0.350338284871385,-2.30160733326114,0.0213573262173116,NA
"gene_90",94.095063940594,-0.267084082585372,0.433328965858893,-0.616354094991066,0.537660843504737,NA
"gene_91",95.9518275543954,-0.432538808763177,0.38967710187372,-1.10999288047299,0.267002094418022,NA
"gene_92",90.1272695392454,0.200289923076922,0.375976692071902,0.5327189884383,0.594228119731272,NA
"gene_93",96.2169259986594,-0.0528993235353843,0.395711136693743,-0.133681664805722,0.893654304377735,NA
"gene_94",83.9820112786942,-0.580701489917959,0.343631027449898,-1.68989830233717,0.0910474124603243,NA
"gene_97",83.0827843446125,0.306311900778454,0.408539897998298,0.749772304441439,0.453391851774267,NA
"gene_98",85.6267188367869,-0.401108406082198,0.439919285045791,-0.911777273052367,0.361885976514294,NA
"gene_100",82.7375302773979,-0.368760187204976,0.458859224005675,-0.803645579979483,0.421601691452401,NA
"gene_102",91.3021361222294,0.490528630436908,0.513177445950933,0.955865528205246,0.339140176827317,NA
"gene_103",76.3990472282843,0.0803999685476324,0.412449296958183,0.194932975133145,0.845445418922659,NA
"gene_104",85.3046535584927,-0.124073887248614,0.387029914366952,-0.320579579621272,0.748529014580593,NA
"gene_106",89.6939242183454,0.338450727841364,0.417576686863542,0.810511550305884,0.417646229365098,NA
"gene_107",59.5997808119224,-0.5634636399809,0.374382722925252,-1.50504712284332,0.132311962050044,NA
"gene_108",74.037483097746,0.0441965394946388,0.370370223140984,0.119330704071788,0.905013358957044,NA
"gene_109",80.3920823807179,-0.351528478836844,0.397699128757156,-0.883905579414773,0.3767471850925,NA
"gene_112",89.9881862425777,0.263192673464521,0.460146936260457,0.571975281642528,0.567338720828556,NA
"gene_113",72.0098339729344,0.834392400647221,0.392849170874533,2.1239510288128,0.0336742387292093,NA
