"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene_3",161.396634650651,2.3715695670194,0.336251246837765,7.05296884196726,1.75140080211782e-12,1.78642881816018e-10
"gene_23",121.012681116835,1.85367982146423,0.348731483863853,5.31549317235698,1.06368838441951e-07,5.42481076053948e-06
"gene_5",187.15126186353,1.55999539949659,0.324207428802054,4.81172009309215,1.49636826434913e-06,4.54377957400643e-05
"gene_10",114.645747732903,1.62642346012211,0.340490386847123,4.7767088967841,1.78187434274762e-06,4.54377957400643e-05
"gene_25",179.640498220429,1.77554777859468,0.376912734329414,4.7107662248495,2.46787190191827e-06,5.03445867991327e-05
"gene_6",166.563266889122,1.67759934355707,0.359732299663101,4.66346598603514,3.10927597242429e-06,5.2857691531213e-05
"gene_18",147.633628590238,1.50073696000547,0.336568445464797,4.45893541188323,8.23677344940292e-06,0.000120021555977014
"gene_11",129.918060092202,1.7350644042944,0.417390886048943,4.15692930125683,3.22553753860014e-05,0.000411256036171518
"gene_9",153.977238145806,1.41299471962407,0.365041399808771,3.87077937013247,0.000108487947938172,0.00122953007663262
"gene_14",178.105156287302,1.21103385145122,0.324447823977035,3.73259970310955,0.000189513643722006,0.00193303916596447
"gene_22",150.621232521938,1.22876339241785,0.332758736717806,3.69265553937925,0.000221924525355963,0.00205784559875529
"gene_16",157.454446718842,1.1393398371333,0.316492095063148,3.59989982342521,0.000318339798902785,0.00270588829067367
"gene_24",157.851898947621,1.27320165088317,0.355797936978382,3.57844022845059,0.000345650893962613,0.00271203009109127
"gene_15",178.37366809629,1.23236214953878,0.372782980104817,3.3058433869279,0.000946909979886563,0.00689891556774496
"gene_20",167.114289455553,1.1431084577431,0.358041675344975,3.19266872115295,0.00140964565863336,0.00958559047870684
"gene_8",107.248481749934,1.2078695695263,0.392794786665188,3.07506517533256,0.00210456558008529,0.0134166055730437
"gene_2",177.826359975759,1.07421132262726,0.360083586956236,2.98322767696108,0.00285225732081693,0.0171135439249016
"gene_4",141.289170150439,1.19564313081849,0.418058500514731,2.85998999983583,0.00423654367138748,0.0240070808045291
"gene_12",152.116086318416,1.10905150435708,0.418415569407807,2.65059807866792,0.00803493945443958,0.0431349381238335
"gene_21",125.713563303524,1.07841222346383,0.412097613576467,2.61688538815993,0.00887361306369906,0.0452554266248652
